,group,side,tag,win,type,championId,champion,role
0,play_in_elim,Blue,HKA,True,ban,79,Gragas,
1,play_in_elim,Blue,HKA,True,ban,18,Tristana,
2,play_in_elim,Blue,HKA,True,ban,41,Gangplank,
3,play_in_elim,Blue,HKA,True,ban,421,Rek'Sai,
4,play_in_elim,Blue,HKA,True,ban,60,Elise,
5,play_in_elim,Blue,HKA,True,pick,150,Gnar,top
6,play_in_elim,Blue,HKA,True,pick,64,Lee Sin,jungle
7,play_in_elim,Blue,HKA,True,pick,42,Corki,mid
8,play_in_elim,Blue,HKA,True,pick,81,Ezreal,bot
9,play_in_elim,Blue,HKA,True,pick,497,Rakan,supp
10,play_in_elim,Red,ISG,False,ban,80,Pantheon,
11,play_in_elim,Red,ISG,False,ban,555,Pyke,
12,play_in_elim,Red,ISG,False,ban,134,Syndra,
13,play_in_elim,Red,ISG,False,ban,3,Galio,
14,play_in_elim,Red,ISG,False,ban,82,Mordekaiser,
15,play_in_elim,Red,ISG,False,pick,39,Irelia,top
16,play_in_elim,Red,ISG,False,pick,56,Nocturne,jungle
17,play_in_elim,Red,ISG,False,pick,84,Akali,mid
18,play_in_elim,Red,ISG,False,pick,498,Xayah,bot
19,play_in_elim,Red,ISG,False,pick,412,Thresh,supp
20,play_in_elim,Blue,ISG,False,ban,555,Pyke,
21,play_in_elim,Blue,ISG,False,ban,81,Ezreal,
22,play_in_elim,Blue,ISG,False,ban,246,Qiyana,
23,play_in_elim,Blue,ISG,False,ban,8,Vladimir,
24,play_in_elim,Blue,ISG,False,ban,64,Lee Sin,
25,play_in_elim,Blue,ISG,False,pick,41,Gangplank,top
26,play_in_elim,Blue,ISG,False,pick,72,Skarner,jungle
27,play_in_elim,Blue,ISG,False,pick,42,Corki,mid
28,play_in_elim,Blue,ISG,False,pick,498,Xayah,bot
29,play_in_elim,Blue,ISG,False,pick,497,Rakan,supp
30,play_in_elim,Red,HKA,True,ban,80,Pantheon,
31,play_in_elim,Red,HKA,True,ban,79,Gragas,
32,play_in_elim,Red,HKA,True,ban,84,Akali,
33,play_in_elim,Red,HKA,True,ban,60,Elise,
34,play_in_elim,Red,HKA,True,ban,56,Nocturne,
35,play_in_elim,Red,HKA,True,pick,18,Tristana,top
36,play_in_elim,Red,HKA,True,pick,59,Jarvan IV,jungle
37,play_in_elim,Red,HKA,True,pick,134,Syndra,mid
38,play_in_elim,Red,HKA,True,pick,45,Veigar,bot
39,play_in_elim,Red,HKA,True,pick,111,Nautilus,supp
40,play_in_elim,Blue,ISG,True,ban,58,Renekton,
41,play_in_elim,Blue,ISG,True,ban,555,Pyke,
42,play_in_elim,Blue,ISG,True,ban,246,Qiyana,
43,play_in_elim,Blue,ISG,True,ban,3,Galio,
44,play_in_elim,Blue,ISG,True,ban,42,Corki,
45,play_in_elim,Blue,ISG,True,pick,240,Kled,top
46,play_in_elim,Blue,ISG,True,pick,60,Elise,jungle
47,play_in_elim,Blue,ISG,True,pick,84,Akali,mid
48,play_in_elim,Blue,ISG,True,pick,498,Xayah,bot
49,play_in_elim,Blue,ISG,True,pick,412,Thresh,supp
50,play_in_elim,Red,HKA,False,ban,80,Pantheon,
51,play_in_elim,Red,HKA,False,ban,79,Gragas,
52,play_in_elim,Red,HKA,False,ban,134,Syndra,
53,play_in_elim,Red,HKA,False,ban,133,Quinn,
54,play_in_elim,Red,HKA,False,ban,18,Tristana,
55,play_in_elim,Red,HKA,False,pick,41,Gangplank,top
56,play_in_elim,Red,HKA,False,pick,64,Lee Sin,jungle
57,play_in_elim,Red,HKA,False,pick,4,Twisted Fate,mid
58,play_in_elim,Red,HKA,False,pick,81,Ezreal,bot
59,play_in_elim,Red,HKA,False,pick,497,Rakan,supp
60,play_in_elim,Blue,HKA,True,ban,18,Tristana,
61,play_in_elim,Blue,HKA,True,ban,79,Gragas,
62,play_in_elim,Blue,HKA,True,ban,41,Gangplank,
63,play_in_elim,Blue,HKA,True,ban,421,Rek'Sai,
64,play_in_elim,Blue,HKA,True,ban,59,Jarvan IV,
65,play_in_elim,Blue,HKA,True,pick,150,Gnar,top
66,play_in_elim,Blue,HKA,True,pick,64,Lee Sin,jungle
67,play_in_elim,Blue,HKA,True,pick,4,Twisted Fate,mid
68,play_in_elim,Blue,HKA,True,pick,134,Syndra,bot
69,play_in_elim,Blue,HKA,True,pick,555,Pyke,supp
70,play_in_elim,Red,ISG,False,ban,498,Xayah,
71,play_in_elim,Red,ISG,False,ban,58,Renekton,
72,play_in_elim,Red,ISG,False,ban,80,Pantheon,
73,play_in_elim,Red,ISG,False,ban,39,Irelia,
74,play_in_elim,Red,ISG,False,ban,246,Qiyana,
75,play_in_elim,Red,ISG,False,pick,126,Jayce,top
76,play_in_elim,Red,ISG,False,pick,72,Skarner,jungle
77,play_in_elim,Red,ISG,False,pick,84,Akali,mid
78,play_in_elim,Red,ISG,False,pick,8,Vladimir,bot
79,play_in_elim,Red,ISG,False,pick,350,Yuumi,supp
80,play_in_elim,Blue,LK,False,ban,58,Renekton,
81,play_in_elim,Blue,LK,False,ban,7,LeBlanc,
82,play_in_elim,Blue,LK,False,ban,163,Taliyah,
83,play_in_elim,Blue,LK,False,ban,497,Rakan,
84,play_in_elim,Blue,LK,False,ban,111,Nautilus,
85,play_in_elim,Blue,LK,False,pick,266,Aatrox,top
86,play_in_elim,Blue,LK,False,pick,76,Nidalee,jungle
87,play_in_elim,Blue,LK,False,pick,157,Yasuo,mid
88,play_in_elim,Blue,LK,False,pick,81,Ezreal,bot
89,play_in_elim,Blue,LK,False,pick,79,Gragas,supp
90,play_in_elim,Red,DWG,True,ban,18,Tristana,
91,play_in_elim,Red,DWG,True,ban,134,Syndra,
92,play_in_elim,Red,DWG,True,ban,80,Pantheon,
93,play_in_elim,Red,DWG,True,ban,201,Braum,
94,play_in_elim,Red,DWG,True,ban,555,Pyke,
95,play_in_elim,Red,DWG,True,pick,85,Kennen,top
96,play_in_elim,Red,DWG,True,pick,64,Lee Sin,jungle
97,play_in_elim,Red,DWG,True,pick,84,Akali,mid
98,play_in_elim,Red,DWG,True,pick,498,Xayah,bot
99,play_in_elim,Red,DWG,True,pick,350,Yuumi,supp
100,play_in_elim,Blue,DWG,True,ban,516,Ornn,
101,play_in_elim,Blue,DWG,True,ban,18,Tristana,
102,play_in_elim,Blue,DWG,True,ban,134,Syndra,
103,play_in_elim,Blue,DWG,True,ban,51,Caitlyn,
104,play_in_elim,Blue,DWG,True,ban,240,Kled,
105,play_in_elim,Blue,DWG,True,pick,58,Renekton,top
106,play_in_elim,Blue,DWG,True,pick,163,Taliyah,jungle
107,play_in_elim,Blue,DWG,True,pick,246,Qiyana,mid
108,play_in_elim,Blue,DWG,True,pick,145,Kai'Sa,bot
109,play_in_elim,Blue,DWG,True,pick,12,Alistar,supp
110,play_in_elim,Red,LK,False,ban,80,Pantheon,
111,play_in_elim,Red,LK,False,ban,7,LeBlanc,
112,play_in_elim,Red,LK,False,ban,498,Xayah,
113,play_in_elim,Red,LK,False,ban,8,Vladimir,
114,play_in_elim,Red,LK,False,ban,13,Ryze,
115,play_in_elim,Red,LK,False,pick,555,Pyke,top
116,play_in_elim,Red,LK,False,pick,79,Gragas,jungle
117,play_in_elim,Red,LK,False,pick,4,Twisted Fate,mid
118,play_in_elim,Red,LK,False,pick,236,Lucian,bot
119,play_in_elim,Red,LK,False,pick,412,Thresh,supp
120,play_in_elim,Blue,DWG,True,ban,516,Ornn,
121,play_in_elim,Blue,DWG,True,ban,18,Tristana,
122,play_in_elim,Blue,DWG,True,ban,134,Syndra,
123,play_in_elim,Blue,DWG,True,ban,60,Elise,
124,play_in_elim,Blue,DWG,True,ban,421,Rek'Sai,
125,play_in_elim,Blue,DWG,True,pick,126,Jayce,top
126,play_in_elim,Blue,DWG,True,pick,163,Taliyah,jungle
127,play_in_elim,Blue,DWG,True,pick,58,Renekton,mid
128,play_in_elim,Blue,DWG,True,pick,157,Yasuo,bot
129,play_in_elim,Blue,DWG,True,pick,79,Gragas,supp
130,play_in_elim,Red,LK,False,ban,80,Pantheon,
131,play_in_elim,Red,LK,False,ban,7,LeBlanc,
132,play_in_elim,Red,LK,False,ban,498,Xayah,
133,play_in_elim,Red,LK,False,ban,12,Alistar,
134,play_in_elim,Red,LK,False,ban,25,Morgana,
135,play_in_elim,Red,LK,False,pick,150,Gnar,top
136,play_in_elim,Red,LK,False,pick,72,Skarner,jungle
137,play_in_elim,Red,LK,False,pick,84,Akali,mid
138,play_in_elim,Red,LK,False,pick,145,Kai'Sa,bot
139,play_in_elim,Red,LK,False,pick,89,Leona,supp
140,play_in_elim,Blue,LK,True,ban,58,Renekton,
141,play_in_elim,Blue,LK,True,ban,7,LeBlanc,
142,play_in_elim,Blue,LK,True,ban,498,Xayah,
143,play_in_elim,Blue,LK,True,ban,2,Olaf,
144,play_in_elim,Blue,LK,True,ban,64,Lee Sin,
145,play_in_elim,Blue,LK,True,pick,516,Ornn,top
146,play_in_elim,Blue,LK,True,pick,79,Gragas,jungle
147,play_in_elim,Blue,LK,True,pick,4,Twisted Fate,mid
148,play_in_elim,Blue,LK,True,pick,18,Tristana,bot
149,play_in_elim,Blue,LK,True,pick,98,Shen,supp
150,play_in_elim,Red,DWG,False,ban,80,Pantheon,
151,play_in_elim,Red,DWG,False,ban,60,Elise,
152,play_in_elim,Red,DWG,False,ban,134,Syndra,
153,play_in_elim,Red,DWG,False,ban,67,Vayne,
154,play_in_elim,Red,DWG,False,ban,51,Caitlyn,
155,play_in_elim,Red,DWG,False,pick,8,Vladimir,top
156,play_in_elim,Red,DWG,False,pick,246,Qiyana,jungle
157,play_in_elim,Red,DWG,False,pick,84,Akali,mid
158,play_in_elim,Red,DWG,False,pick,86,Garen,bot
159,play_in_elim,Red,DWG,False,pick,350,Yuumi,supp
160,play_in_elim,Blue,SPY,True,ban,10,Kayle,
161,play_in_elim,Blue,SPY,True,ban,74,Heimerdinger,
162,play_in_elim,Blue,SPY,True,ban,134,Syndra,
163,play_in_elim,Blue,SPY,True,ban,4,Twisted Fate,
164,play_in_elim,Blue,SPY,True,ban,421,Rek'Sai,
165,play_in_elim,Blue,SPY,True,pick,150,Gnar,top
166,play_in_elim,Blue,SPY,True,pick,2,Olaf,jungle
167,play_in_elim,Blue,SPY,True,pick,84,Akali,mid
168,play_in_elim,Blue,SPY,True,pick,498,Xayah,bot
169,play_in_elim,Blue,SPY,True,pick,43,Karma,supp
170,play_in_elim,Red,UOL,False,ban,80,Pantheon,
171,play_in_elim,Red,UOL,False,ban,41,Gangplank,
172,play_in_elim,Red,UOL,False,ban,246,Qiyana,
173,play_in_elim,Red,UOL,False,ban,79,Gragas,
174,play_in_elim,Red,UOL,False,ban,7,LeBlanc,
175,play_in_elim,Red,UOL,False,pick,164,Camille,top
176,play_in_elim,Red,UOL,False,pick,60,Elise,jungle
177,play_in_elim,Red,UOL,False,pick,13,Ryze,mid
178,play_in_elim,Red,UOL,False,pick,51,Caitlyn,bot
179,play_in_elim,Red,UOL,False,pick,25,Morgana,supp
180,play_in_elim,Blue,UOL,True,ban,150,Gnar,
181,play_in_elim,Blue,UOL,True,ban,246,Qiyana,
182,play_in_elim,Blue,UOL,True,ban,498,Xayah,
183,play_in_elim,Blue,UOL,True,ban,222,Jinx,
184,play_in_elim,Blue,UOL,True,ban,7,LeBlanc,
185,play_in_elim,Blue,UOL,True,pick,41,Gangplank,top
186,play_in_elim,Blue,UOL,True,pick,121,Kha'Zix,jungle
187,play_in_elim,Blue,UOL,True,pick,10,Kayle,mid
188,play_in_elim,Blue,UOL,True,pick,145,Kai'Sa,bot
189,play_in_elim,Blue,UOL,True,pick,25,Morgana,supp
190,play_in_elim,Red,SPY,False,ban,80,Pantheon,
191,play_in_elim,Red,SPY,False,ban,497,Rakan,
192,play_in_elim,Red,SPY,False,ban,134,Syndra,
193,play_in_elim,Red,SPY,False,ban,111,Nautilus,
194,play_in_elim,Red,SPY,False,ban,4,Twisted Fate,
195,play_in_elim,Red,SPY,False,pick,31,Cho'Gath,top
196,play_in_elim,Red,SPY,False,pick,56,Nocturne,jungle
197,play_in_elim,Red,SPY,False,pick,84,Akali,mid
198,play_in_elim,Red,SPY,False,pick,202,Jhin,bot
199,play_in_elim,Red,SPY,False,pick,412,Thresh,supp
200,play_in_elim,Blue,SPY,True,ban,10,Kayle,
